Extruder temperature zone 1,Extruder temperature zone 2,Extruder temperature zone 3,Extruder pressure,Chiller temperature,Streighthening temperature,Rolling velocity,Extruder signal zone 1,Extruder signal zone 2,Extruder signal zone 3,Extruder signal pressure,Chiller signal,Streighthening signal,Rolling signal,Defect
204.4,190.0,199.4,72.9,62.7,43.4,4.0,0,0,0,0,1,0,1,1
195.3,207.7,204.3,10.6,19.5,15.3,3.2,0,0,0,0,1,1,1,1
188.0,185.2,195.9,119.6,69.4,41.2,2.8,1,1,0,1,1,0,1,1
210.6,189.0,202.4,10.8,26.4,30.0,4.7,1,1,0,0,0,0,1,0
214.4,213.5,213.7,2.5,22.5,37.7,2.2,1,1,1,1,0,0,1,1
216.1,218.9,185.8,59.9,25.6,10.8,3.5,1,1,1,0,0,1,1,0
203.6,205.0,188.6,113.1,54.0,43.8,1.6,0,0,1,1,1,0,0,1
192.5,202.9,219.6,101.9,58.1,47.4,2.6,0,0,1,1,1,0,1,1
202.1,194.2,218.5,106.0,47.0,25.8,3.7,0,0,1,1,0,0,1,0
187.0,196.7,196.4,62.4,15.0,18.2,4.4,1,0,0,0,1,1,1,1
208.4,190.4,202.0,119.9,66.2,14.7,3.5,0,0,0,1,1,1,1,1
189.5,191.6,207.4,100.7,44.7,18.6,1.4,1,0,0,1,0,1,0,0
217.1,190.2,213.3,53.0,9.9,69.1,1.7,1,0,1,0,1,1,0,1
218.2,180.5,196.6,19.4,66.5,63.8,3.9,1,1,0,0,1,1,1,1
194.0,189.9,209.0,112.0,55.1,53.9,1.7,0,1,0,1,1,1,0,0
206.6,186.6,199.5,50.8,68.3,53.1,3.4,0,1,0,0,1,1,1,1
191.0,181.1,185.5,96.2,5.1,65.1,2.6,0,1,1,0,1,1,1,0
212.6,181.8,197.7,108.0,16.4,50.6,1.0,1,1,0,1,1,1,0,1
214.3,199.7,206.4,24.3,67.1,13.7,4.7,1,0,0,0,1,1,1,1
213.8,195.2,202.0,21.3,52.1,67.7,2.3,1,0,0,0,1,1,1,1
194.0,188.5,193.1,37.4,63.3,31.7,3.0,0,1,0,0,1,0,1,0
217.3,204.4,218.8,108.8,42.5,60.9,2.4,1,0,1,1,0,1,1,1
195.8,184.9,213.3,25.5,39.3,19.0,2.5,0,1,1,0,0,1,1,1
218.4,210.0,213.7,5.4,52.4,63.1,3.5,1,0,1,1,1,1,1,1
188.9,206.2,189.8,74.4,57.7,18.5,2.3,1,0,1,0,1,1,1,0
211.1,206.7,181.2,32.7,38.9,50.0,3.4,1,0,1,0,0,0,1,0
197.1,207.0,195.4,83.5,26.5,37.9,2.8,0,0,0,0,0,0,1,1
183.8,186.0,205.1,50.1,21.8,43.1,3.8,1,1,0,0,0,0,1,1
182.0,195.3,193.7,28.3,24.4,23.1,4.6,1,0,0,0,0,0,1,1
196.7,216.3,213.7,102.0,5.3,58.5,3.6,0,1,1,1,1,1,1,0
212.9,218.1,199.1,61.7,40.3,68.8,4.4,1,1,0,0,0,1,1,1
188.2,209.5,206.0,79.8,5.3,14.0,2.5,1,0,0,0,1,1,1,0
183.2,202.7,193.0,96.3,28.1,13.1,0.7,1,0,0,0,0,1,0,1
208.1,197.9,214.2,113.1,49.9,17.3,2.6,0,0,1,1,0,1,1,0
189.4,183.7,191.8,19.3,38.5,47.2,3.7,1,1,0,0,0,0,1,1
201.1,191.4,189.8,39.7,46.7,17.8,2.3,0,0,1,0,0,1,1,1
182.0,188.1,188.2,20.6,67.0,53.8,4.5,1,1,1,0,1,1,1,0
182.5,203.5,192.8,43.7,10.9,10.3,3.2,1,0,0,0,1,1,1,1
183.6,200.5,217.7,55.8,29.2,37.2,2.9,1,0,1,0,0,0,1,1
197.5,192.1,197.6,105.4,46.7,48.8,0.3,0,0,0,1,0,0,0,0
186.8,192.4,193.8,11.0,33.6,51.8,3.6,1,0,0,0,0,1,1,0
189.6,196.6,193.4,29.1,10.5,41.1,1.2,1,0,0,0,1,0,0,0
187.8,180.8,193.5,64.9,9.8,45.1,0.8,1,1,0,0,1,0,0,0
185.7,193.4,191.9,2.9,13.5,34.6,4.2,1,0,0,1,1,0,1,1
218.7,184.0,206.8,1.2,45.0,49.5,4.4,1,1,0,1,0,0,1,1
211.8,216.4,183.3,40.8,38.9,37.7,2.0,1,1,1,0,0,0,0,1
206.7,207.5,214.2,15.6,30.3,20.6,2.7,0,0,1,0,0,0,1,1
219.5,191.7,194.7,75.3,63.2,66.1,4.9,1,0,0,0,1,1,1,1
184.1,219.4,198.8,50.9,34.1,47.9,2.5,1,1,0,0,0,0,1,1
191.7,196.7,190.8,24.4,34.3,24.3,2.1,0,0,0,0,0,0,1,1
188.4,185.9,182.8,39.9,27.9,68.4,0.3,1,1,1,0,0,1,0,0
187.0,204.7,194.8,50.0,62.8,45.1,2.9,1,0,0,0,1,0,1,0
211.2,217.0,188.9,44.9,6.8,21.5,1.3,1,1,1,0,1,0,0,0
219.9,196.9,203.5,105.4,49.0,53.7,0.3,1,0,0,1,0,1,0,0
198.3,208.4,204.0,77.5,52.4,47.1,0.2,0,0,0,0,1,0,0,1
191.2,214.4,191.8,45.4,26.8,44.7,4.4,0,1,0,0,0,0,1,0
182.5,193.6,188.0,20.3,67.7,13.6,2.8,1,0,1,0,1,1,1,1
211.7,198.9,183.8,53.9,35.8,20.0,2.8,1,0,1,0,0,0,1,0
180.1,186.4,190.3,59.0,14.7,27.9,4.5,1,1,0,0,1,0,1,0
187.7,217.8,183.5,101.5,42.5,54.6,4.6,1,1,1,1,0,1,1,1
180.4,214.1,180.9,13.7,53.3,32.1,2.6,1,1,1,0,1,0,1,1
202.1,180.5,190.5,29.4,41.4,41.9,3.9,0,1,0,0,0,0,1,0
181.8,198.1,213.8,7.8,11.3,45.3,1.5,1,0,1,1,1,0,0,1
188.7,197.9,204.2,81.8,41.4,60.7,3.2,1,0,0,0,0,1,1,1
199.1,202.5,186.2,87.7,65.3,68.0,0.9,0,0,1,0,1,1,0,0
188.3,191.3,184.5,84.3,54.9,68.5,3.6,1,0,1,0,1,1,1,1
182.4,216.8,194.4,83.7,27.1,29.8,2.7,1,1,0,0,0,0,1,1
213.2,194.4,194.8,94.9,47.2,55.2,4.8,1,0,0,0,0,1,1,0
190.2,213.6,196.3,59.8,58.5,56.0,0.5,0,1,0,0,1,1,0,1
207.9,206.3,181.3,27.2,33.5,17.6,3.1,0,0,1,0,0,1,1,0
203.0,188.8,215.9,40.5,46.2,60.6,4.2,0,1,1,0,0,1,1,1
203.3,210.7,192.7,46.9,42.4,66.6,2.0,0,1,0,0,0,1,0,0
182.1,195.6,184.9,8.1,19.0,24.2,3.2,1,0,1,1,1,0,1,0
194.3,184.8,197.0,112.7,63.1,61.4,1.1,0,1,0,1,1,1,0,1
186.6,201.4,193.1,69.1,6.4,11.9,0.7,1,0,0,0,1,1,0,0
219.5,213.6,206.7,59.3,55.6,45.6,3.9,1,1,0,0,1,0,1,0
211.9,189.9,219.0,87.6,61.3,32.2,0.9,1,1,1,0,1,0,0,0
191.3,206.4,195.7,19.2,22.2,46.4,0.2,0,0,0,0,0,0,0,0
187.4,196.0,214.5,108.6,42.7,21.5,5.0,1,0,1,1,0,0,1,0
209.5,218.9,188.8,51.7,30.1,32.3,2.3,0,1,1,0,0,0,1,0
212.0,197.6,187.9,42.7,14.5,29.7,2.5,1,0,1,0,1,0,1,1
201.2,209.6,219.2,67.8,11.8,23.9,0.2,0,0,1,0,1,0,0,1
189.6,181.1,206.6,34.7,33.8,37.6,3.0,1,1,0,0,0,0,1,1
192.7,196.5,196.9,75.2,12.4,25.4,4.0,0,0,0,0,1,0,1,0
185.6,186.5,195.3,42.4,16.0,14.5,1.9,1,1,0,0,1,1,0,0
215.2,203.1,181.6,86.5,42.5,47.9,4.0,1,0,1,0,0,0,1,1
192.8,210.6,206.5,72.1,49.6,32.8,4.1,0,1,0,0,0,0,1,1
205.5,200.6,209.5,94.6,36.0,35.6,4.9,0,0,0,0,0,0,1,0
189.2,195.2,190.7,26.5,37.4,24.3,4.9,1,0,0,0,0,0,1,1
194.9,187.2,188.5,1.8,28.3,21.6,3.9,0,1,1,1,0,0,1,0
214.9,212.4,206.1,87.3,41.6,48.5,4.6,1,1,0,0,0,0,1,0
181.6,218.3,218.9,52.7,11.4,11.9,4.4,1,1,1,0,1,1,1,0
202.8,184.9,206.5,51.7,26.1,59.2,0.7,0,1,0,0,0,1,0,0
189.1,219.3,192.4,95.8,28.7,19.1,3.8,1,1,0,0,0,1,1,1
189.3,182.4,190.7,83.2,7.3,20.3,1.0,1,1,0,0,1,0,0,0
193.7,209.3,199.4,6.8,18.2,13.9,4.9,0,0,0,1,1,1,1,1
210.6,209.0,212.6,32.2,46.1,43.4,3.2,1,0,1,0,0,0,1,0
202.2,182.2,199.7,89.9,28.8,29.5,2.7,0,1,0,0,0,0,1,0
211.9,205.1,203.5,93.5,9.3,36.3,4.6,1,0,0,0,1,0,1,0
208.6,208.7,188.5,72.6,47.7,47.2,4.9,0,0,1,0,0,0,1,1
197.8,183.0,205.0,8.5,21.5,25.2,0.1,0,1,0,1,0,0,0,1
208.0,193.7,182.2,7.0,50.4,39.2,1.2,0,0,1,1,1,0,0,1
214.7,194.7,192.6,84.2,67.3,12.4,4.7,1,0,0,0,1,1,1,1
181.5,183.6,184.6,39.0,28.9,35.5,0.4,1,1,1,0,0,0,0,0
214.2,218.5,191.0,78.8,43.9,21.7,2.1,1,1,0,0,0,0,1,1
185.2,190.0,191.8,37.7,37.2,21.8,2.9,1,0,0,0,0,0,1,0
194.1,191.8,211.1,46.4,29.6,61.4,0.4,0,0,1,0,0,1,0,0
192.9,205.7,218.1,15.3,47.2,19.2,2.5,0,0,1,0,0,1,1,1
215.2,204.6,184.5,114.6,32.0,36.8,1.4,1,0,1,1,0,0,0,0
213.4,213.4,188.5,5.0,61.6,47.5,4.0,1,1,1,1,1,0,1,0
211.1,184.2,183.3,95.6,29.0,34.6,0.3,1,1,1,0,0,0,0,1
188.5,182.4,195.1,72.8,7.4,23.4,1.3,1,1,0,0,1,0,0,0
188.0,209.8,198.7,16.2,63.1,64.8,3.6,1,0,0,0,1,1,1,1
197.2,191.7,198.3,23.1,69.1,67.6,3.6,0,0,0,0,1,1,1,0
188.3,192.3,181.7,10.6,16.5,12.8,4.2,1,0,1,0,1,1,1,0
194.2,203.9,193.9,32.6,29.1,57.4,2.9,0,0,0,0,0,1,1,1
208.8,211.6,217.1,16.8,50.4,51.9,4.0,0,1,1,0,1,1,1,1
215.0,214.8,203.9,91.2,16.3,67.7,1.2,1,1,0,0,1,1,0,0
180.2,182.6,208.1,47.8,58.0,51.3,4.8,1,1,0,0,1,1,1,0
193.9,197.3,203.7,16.1,30.4,22.6,3.8,0,0,0,0,0,0,1,0
203.3,183.4,213.9,12.3,69.2,62.1,0.3,0,1,1,0,1,1,0,0
185.5,188.4,211.7,104.4,59.7,47.7,4.3,1,1,1,1,1,0,1,0
215.6,184.8,218.7,96.7,63.8,51.9,2.2,1,1,1,0,1,1,1,0
193.2,189.3,217.9,51.2,6.6,45.9,3.7,0,1,1,0,1,0,1,1
182.6,200.4,218.8,118.7,40.4,67.4,4.4,1,0,1,1,0,1,1,1
205.2,191.7,190.3,35.5,55.9,47.3,2.3,0,0,0,0,1,0,1,0
203.9,197.5,197.0,111.8,49.8,13.9,1.3,0,0,0,1,0,1,0,1
212.4,197.3,186.6,86.7,55.8,51.8,3.1,1,0,1,0,1,1,1,0
201.3,181.2,218.8,81.0,27.9,51.3,3.0,0,1,1,0,0,1,1,1
184.7,204.2,195.2,60.8,67.4,52.8,1.0,1,0,0,0,1,1,0,0
190.2,215.9,188.9,85.0,41.1,50.4,3.6,0,1,1,0,0,1,1,0
212.6,188.8,206.7,3.0,49.2,39.1,1.4,1,1,0,1,0,0,0,0
180.3,189.9,198.7,26.1,43.3,68.4,2.4,1,1,0,0,0,1,1,0
218.6,213.6,205.4,75.9,27.8,38.2,4.5,1,1,0,0,0,0,1,0
205.7,207.6,181.8,18.2,12.0,61.1,0.5,0,0,1,0,1,1,0,1
182.6,192.4,190.5,105.3,33.6,64.4,0.8,1,0,0,1,0,1,0,0
184.1,218.8,195.2,71.5,24.3,64.3,4.5,1,1,0,0,0,1,1,0
216.3,195.2,191.6,38.4,43.0,60.7,0.1,1,0,0,0,0,1,0,1
196.0,183.8,190.3,111.3,68.8,14.5,2.6,0,1,0,1,1,1,1,1
216.7,205.8,215.5,47.1,8.8,43.2,0.2,1,0,1,0,1,0,0,0
203.5,213.6,210.6,42.2,11.3,46.8,2.5,0,1,1,0,1,0,1,1
208.5,203.4,193.0,4.6,19.1,59.3,1.7,0,0,0,1,1,1,0,1
193.8,204.9,201.8,36.7,65.3,62.4,2.7,0,0,0,0,1,1,1,0
187.0,206.8,190.4,107.7,48.5,64.9,2.1,1,0,0,1,0,1,1,1
218.5,192.2,192.2,32.6,25.0,31.1,2.7,1,0,0,0,0,0,1,0
184.2,210.9,205.8,85.3,42.0,31.2,0.9,1,1,0,0,0,0,0,0
189.1,187.7,193.8,46.0,27.0,10.2,4.8,1,1,0,0,0,1,1,1
213.6,211.4,196.0,81.7,29.7,27.8,4.7,1,1,0,0,0,0,1,1
187.7,200.5,212.7,58.4,32.9,42.6,1.6,1,0,1,0,0,0,0,0
200.0,181.6,192.5,38.3,67.3,12.0,0.6,0,1,0,0,1,1,0,1
214.9,211.6,208.8,64.5,18.2,37.5,2.1,1,1,0,0,1,0,1,1
184.9,194.5,185.0,107.0,62.3,60.2,3.4,1,0,1,1,1,1,1,1
212.3,209.1,180.4,7.6,45.0,50.6,3.5,1,0,1,1,0,1,1,0
188.2,211.8,218.8,89.7,53.4,57.2,2.8,1,1,1,0,1,1,1,1
208.9,208.7,184.8,17.6,11.0,34.0,1.2,0,0,1,0,1,0,0,1
205.2,202.2,216.5,85.7,28.2,23.6,2.8,0,0,1,0,0,0,1,0
196.7,210.0,204.8,42.6,59.6,13.8,0.8,0,0,0,0,1,1,0,0
183.3,186.0,198.5,50.8,69.9,55.5,2.1,1,1,0,0,1,1,1,1
206.9,210.1,184.4,70.5,67.3,24.6,1.8,0,1,1,0,1,0,0,0
187.8,204.1,191.2,115.1,8.0,51.9,0.5,1,0,0,1,1,1,0,1
205.6,212.7,194.3,77.1,58.3,34.6,1.6,0,1,0,0,1,0,0,0
218.4,184.6,201.7,110.7,16.9,34.0,3.3,1,1,0,1,1,0,1,1
215.0,220.0,207.4,54.8,41.2,62.9,2.5,1,1,0,0,0,1,1,0
193.1,199.2,199.4,73.7,22.9,13.7,2.1,0,0,0,0,0,1,1,0
184.9,204.9,219.5,69.1,14.8,62.7,3.9,1,0,1,0,1,1,1,0
198.7,219.6,198.7,106.2,9.8,19.5,2.6,0,1,0,1,1,1,1,0
206.3,213.1,209.4,28.2,13.3,41.7,2.8,0,1,0,0,1,0,1,0
194.5,180.2,215.2,56.2,18.1,16.1,2.5,0,1,1,0,1,1,1,0
195.7,182.6,186.6,83.0,23.4,12.2,0.4,0,1,1,0,0,1,0,1
220.0,201.3,201.3,119.7,44.1,16.1,3.4,1,0,0,1,0,1,1,1
192.3,189.7,207.6,62.1,27.2,52.4,1.1,0,1,0,0,0,1,0,0
181.5,204.9,218.8,30.0,34.1,12.8,1.8,1,0,1,0,0,1,0,0
205.3,219.3,212.7,102.0,31.8,63.1,2.4,0,1,1,1,0,1,1,1
192.2,199.8,204.6,16.0,29.4,65.0,1.3,0,0,0,0,0,1,0,0
193.1,206.4,189.4,85.4,45.8,69.5,3.7,0,0,1,0,0,1,1,0
218.3,183.2,185.8,67.2,66.8,68.3,1.9,1,1,1,0,1,1,0,1
209.1,197.3,199.3,108.1,13.1,22.5,1.4,0,0,0,1,1,0,0,1
184.6,189.3,211.5,34.9,68.5,36.1,1.9,1,1,1,0,1,0,0,0
216.9,190.3,202.4,58.9,30.9,12.4,3.5,1,0,0,0,0,1,1,1
217.1,217.3,199.7,42.8,46.3,15.8,0.9,1,1,0,0,0,1,0,0
202.7,194.6,205.6,97.5,16.3,45.6,1.1,0,0,0,0,1,0,0,0
208.7,185.4,180.7,64.2,26.2,57.7,1.4,0,1,1,0,0,1,0,1
182.9,219.0,219.4,110.3,57.6,27.6,4.4,1,1,1,1,1,0,1,1
207.7,215.2,211.4,24.4,47.6,19.2,1.2,0,1,1,0,0,1,0,1
216.7,193.3,213.6,88.8,35.1,48.0,2.0,1,0,1,0,0,0,0,1
197.3,209.4,218.1,94.1,67.4,52.7,1.0,0,0,1,0,1,1,0,0
213.7,186.0,212.4,111.7,52.2,38.9,1.0,1,1,1,1,1,0,0,1
207.1,185.4,193.6,32.2,62.8,60.6,0.9,0,1,0,0,1,1,0,1
183.1,218.0,185.0,47.7,27.4,11.1,4.9,1,1,1,0,0,1,1,0
194.1,195.1,200.1,114.3,10.2,20.6,3.2,0,0,0,1,1,0,1,1
204.2,203.9,186.1,30.5,7.1,17.9,3.5,0,0,1,0,1,1,1,1
210.4,186.5,191.5,6.1,12.6,54.0,0.6,1,1,0,1,1,1,0,1
215.1,192.6,188.4,76.8,59.3,37.9,2.3,1,0,1,0,1,0,1,0
194.1,181.5,187.5,118.9,20.8,16.9,1.1,0,1,1,1,0,1,0,0
195.9,182.0,187.1,21.7,18.3,23.1,2.9,0,1,1,0,1,0,1,0
203.5,197.0,186.6,97.5,47.9,35.1,2.1,0,0,1,0,0,0,1,1
188.3,203.4,212.8,56.5,6.2,69.4,1.2,1,0,1,0,1,1,0,1
184.2,206.8,187.4,67.6,45.0,34.8,3.7,1,0,1,0,0,0,1,1
194.0,206.9,196.5,30.6,57.3,47.6,1.7,0,0,0,0,1,0,0,0
193.6,194.4,186.3,108.7,43.2,41.7,3.9,0,0,1,1,0,0,1,0
216.4,211.2,218.2,5.4,60.1,45.3,4.9,1,1,1,1,1,0,1,1
207.2,184.8,215.7,103.7,14.4,42.7,4.6,0,1,1,1,1,0,1,0
202.1,196.0,190.1,43.1,45.2,21.9,1.8,0,0,0,0,0,0,0,0
195.0,200.1,184.3,67.8,18.7,28.8,3.8,0,0,1,0,1,0,1,0
212.3,184.4,208.4,27.0,7.2,43.1,2.5,1,1,0,0,1,0,1,1
191.1,213.0,185.4,82.8,9.6,26.7,1.2,0,1,1,0,1,0,0,1
187.1,189.5,201.9,56.9,58.4,66.9,3.9,1,1,0,0,1,1,1,1
209.8,196.9,192.6,38.6,8.7,14.8,3.4,0,0,0,0,1,1,1,0
196.0,195.7,198.1,52.7,11.4,47.6,0.9,0,0,0,0,1,0,0,1
181.2,183.6,202.0,41.9,28.5,22.2,2.7,1,1,0,0,0,0,1,0
195.5,187.9,190.1,41.0,6.2,28.0,4.7,0,1,0,0,1,0,1,1
208.4,217.9,207.8,47.2,47.5,49.1,2.7,0,1,0,0,0,0,1,1
204.2,189.4,185.1,61.3,54.6,54.8,1.1,0,1,1,0,1,1,0,1
219.7,198.5,196.9,92.7,50.9,12.0,2.7,1,0,0,0,1,1,1,1
217.2,203.6,210.1,68.3,52.4,67.6,3.6,1,0,1,0,1,1,1,0
213.8,210.8,198.2,15.0,10.9,40.3,1.9,1,1,0,0,1,0,0,1
188.4,186.6,208.3,107.7,34.8,44.0,4.0,1,1,0,1,0,0,1,1
209.3,195.6,189.6,32.5,43.6,26.0,2.9,0,0,1,0,0,0,1,1
216.5,218.8,219.2,67.8,63.5,61.4,4.9,1,1,1,0,1,1,1,0
204.7,205.8,189.6,99.9,50.4,23.0,0.4,0,0,1,0,1,0,0,1
198.3,190.0,187.3,10.3,22.9,25.5,3.5,0,0,1,0,0,0,1,0
218.0,180.2,189.5,11.1,35.3,48.7,0.3,1,1,1,0,0,0,0,1
195.6,204.5,209.1,96.7,35.8,36.1,3.2,0,0,0,0,0,0,1,0
194.9,187.3,191.6,70.7,45.2,47.9,2.4,0,1,0,0,0,0,1,1
219.3,188.1,184.7,102.3,16.6,57.3,4.3,1,1,1,1,1,1,1,1
196.8,188.3,216.9,87.9,61.0,23.5,3.7,0,1,1,0,1,0,1,1
205.4,212.9,184.8,94.9,30.6,63.2,4.3,0,1,1,0,0,1,1,1
190.3,184.2,204.8,47.0,34.9,59.7,1.3,0,1,0,0,0,1,0,1
188.7,198.2,214.0,57.1,52.3,38.3,1.9,1,0,1,0,1,0,0,1
205.0,208.7,202.5,70.5,28.2,67.1,1.8,0,0,0,0,0,1,0,0
216.5,212.7,211.6,17.7,30.2,49.1,4.4,1,1,1,0,0,0,1,0
217.0,180.8,213.9,66.6,28.4,34.1,3.6,1,1,1,0,0,0,1,0
196.0,202.4,206.6,105.2,34.7,56.9,2.0,0,0,0,1,0,1,0,1
209.6,200.0,185.6,113.3,42.4,28.3,2.3,0,0,1,1,0,0,1,0
217.4,192.3,207.8,102.4,65.4,47.1,1.1,1,0,0,1,1,0,0,1
182.7,211.6,208.3,42.7,61.5,49.1,4.2,1,1,0,0,1,0,1,0
192.6,209.2,217.6,68.3,7.2,68.2,1.0,0,0,1,0,1,1,0,0
197.8,203.6,193.3,9.2,18.1,46.9,2.4,0,0,0,1,1,0,1,0
219.7,200.6,195.7,72.9,61.3,62.3,4.6,1,0,0,0,1,1,1,0
180.3,204.9,213.6,66.8,17.7,31.3,3.6,1,0,1,0,1,0,1,0
191.1,217.8,205.0,16.4,25.8,50.9,1.5,0,1,0,0,0,1,0,1
184.3,185.2,185.9,46.4,16.4,19.8,1.2,1,1,1,0,1,1,0,0
199.5,215.3,203.7,96.3,65.1,11.6,2.5,0,1,0,0,1,1,1,1
205.0,210.9,205.6,63.1,36.9,55.6,3.3,0,1,0,0,0,1,1,1
199.4,208.0,195.1,41.3,24.2,59.2,4.6,0,0,0,0,0,1,1,1
187.6,201.4,206.3,61.8,24.6,47.7,0.8,1,0,0,0,0,0,0,1
189.1,211.8,194.0,102.0,33.8,23.7,2.9,1,1,0,1,0,0,1,1
185.2,181.7,187.3,91.0,18.4,13.9,0.4,1,1,1,0,1,1,0,1
196.2,181.6,181.9,6.5,56.7,69.1,3.1,0,1,1,1,1,1,1,0
184.3,209.6,205.9,36.0,22.8,30.6,4.5,1,0,0,0,0,0,1,0
206.3,199.5,214.6,5.3,40.3,61.6,0.6,0,0,1,1,0,1,0,0
218.6,211.2,210.6,88.6,62.0,15.1,2.5,1,1,1,0,1,1,1,1
182.8,215.0,207.8,95.4,48.1,22.1,3.2,1,1,0,0,0,0,1,1
201.7,207.2,206.3,31.7,57.9,40.0,2.5,0,0,0,0,1,0,1,0
187.7,186.2,197.8,117.1,24.0,17.8,1.7,1,1,0,1,0,1,0,0
199.5,194.0,217.4,55.7,65.6,12.5,2.0,0,0,1,0,1,1,0,1
218.7,190.4,218.9,54.9,51.5,68.0,4.9,1,0,1,0,1,1,1,0
214.7,189.5,210.0,69.0,21.2,60.3,4.1,1,1,0,0,0,1,1,0
212.8,217.3,213.9,26.7,16.2,47.0,0.3,1,1,1,0,1,0,0,1
182.8,212.0,196.3,31.2,25.9,10.9,4.9,1,1,0,0,0,1,1,1
208.0,219.0,183.5,112.8,50.7,60.4,0.8,0,1,1,1,1,1,0,0
190.7,206.7,200.0,64.5,41.3,15.3,1.9,0,0,0,0,0,1,0,1
218.3,201.1,206.3,23.3,60.0,18.6,3.8,1,0,0,0,1,1,1,0
192.7,194.0,219.8,105.8,40.2,46.4,3.0,0,0,1,1,0,0,1,1
208.3,180.1,217.3,80.2,15.9,43.2,3.4,0,1,1,0,1,0,1,1
211.1,211.8,214.5,51.4,51.0,13.8,0.7,1,1,1,0,1,1,0,0
210.4,207.4,218.5,23.4,31.0,33.3,2.7,1,0,1,0,0,0,1,0
213.0,184.4,202.9,106.4,40.9,52.5,0.2,1,1,0,1,0,1,0,1
200.0,219.4,201.0,61.3,22.1,36.4,0.9,0,1,0,0,0,0,0,0
208.5,209.6,184.2,42.0,33.7,39.8,5.0,0,0,1,0,0,0,1,0
185.6,182.0,195.4,17.9,60.0,47.2,4.7,1,1,0,0,1,0,1,1
203.7,198.8,207.6,109.1,63.2,31.2,1.9,0,0,0,1,1,0,0,1
185.7,206.2,204.2,48.5,57.7,51.2,4.5,1,0,0,0,1,1,1,1
184.3,184.9,193.6,7.9,16.1,46.7,4.6,1,1,0,1,1,0,1,0
188.6,205.1,190.8,44.7,41.6,56.5,1.2,1,0,0,0,0,1,0,0
214.0,212.0,202.6,22.5,59.1,12.8,2.2,1,1,0,0,1,1,1,1
201.3,198.0,183.5,87.3,34.3,29.7,2.5,0,0,1,0,0,0,1,1
219.4,214.2,219.4,103.8,61.4,60.1,0.9,1,1,1,1,1,1,0,0
217.3,182.6,197.0,30.8,61.3,24.2,3.9,1,1,0,0,1,0,1,1
198.8,195.9,219.1,67.8,58.0,31.1,1.1,0,0,1,0,1,0,0,1
212.8,202.0,184.1,21.7,19.4,19.0,1.9,1,0,1,0,1,1,0,1
218.9,199.3,189.9,103.1,17.5,26.7,3.0,1,0,1,1,1,0,1,0
183.4,211.0,200.9,52.0,30.0,33.4,2.6,1,1,0,0,0,0,1,1
199.9,183.8,180.3,13.1,13.9,57.0,3.0,0,1,1,0,1,1,1,1
216.2,212.9,188.7,73.7,24.2,35.9,2.3,1,1,1,0,0,0,1,1
208.7,195.7,187.9,111.2,10.2,60.7,1.5,0,0,1,1,1,1,0,0
